x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0																															
x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0																															
x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0																															
x;x;0;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	4;0;1;0	9;2;0;2	9;2;0;2	9;2;0;2	2;0;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0																															
x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;1;1;0	v;v;0;0	y;y;0;0	y;y;0;0	2;1;1;0																																																																					
x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0																																																																					
x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0																																																																					
x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0																																																																					
x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0																																																																					
x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0																																																																					
x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0																																																																					
x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0																																																																					
x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0																																																																					
